image,tp,fp,fn,predictions,ground_truth,visualization
data\traffic-signs\valid\images\SNAG-00122_png_jpg.rf.d5fe57028b62daaf08cac9e62ad08cab.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00122_png_jpg.rf.d5fe57028b62daaf08cac9e62ad08cab.jpg
data\traffic-signs\valid\images\SNAG-00123_png_jpg.rf.ae78a9379afd42cf439d385215fc213d.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00123_png_jpg.rf.ae78a9379afd42cf439d385215fc213d.jpg
data\traffic-signs\valid\images\SNAG-00124_png_jpg.rf.26a70e7863d6c186ca92eac831a724b7.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00124_png_jpg.rf.26a70e7863d6c186ca92eac831a724b7.jpg
data\traffic-signs\valid\images\SNAG-00125_png_jpg.rf.2abdc758a63c70f2b829e9bafce9a1ae.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00125_png_jpg.rf.2abdc758a63c70f2b829e9bafce9a1ae.jpg
data\traffic-signs\valid\images\SNAG-00126_png_jpg.rf.25bff2c3aca9fe5feab3ff84bfd1e08d.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00126_png_jpg.rf.25bff2c3aca9fe5feab3ff84bfd1e08d.jpg
data\traffic-signs\valid\images\SNAG-00127_png_jpg.rf.4c44c187ec4ccf48a56de1dba3407823.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00127_png_jpg.rf.4c44c187ec4ccf48a56de1dba3407823.jpg
data\traffic-signs\valid\images\SNAG-00128_png_jpg.rf.e9bdfc8bcbafca0f945f5cfdf06ff96d.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00128_png_jpg.rf.e9bdfc8bcbafca0f945f5cfdf06ff96d.jpg
data\traffic-signs\valid\images\SNAG-00129_png_jpg.rf.3ba69453fc3181b9fbe8c595600db6cd.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00129_png_jpg.rf.3ba69453fc3181b9fbe8c595600db6cd.jpg
data\traffic-signs\valid\images\SNAG-00130_png_jpg.rf.0b1b506a653284ea34526116633ec701.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00130_png_jpg.rf.0b1b506a653284ea34526116633ec701.jpg
data\traffic-signs\valid\images\SNAG-00131_png_jpg.rf.a5955105ca344ecd9da9f1b383d0ca6f.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00131_png_jpg.rf.a5955105ca344ecd9da9f1b383d0ca6f.jpg
data\traffic-signs\valid\images\SNAG-00132_png_jpg.rf.6b2d3c8571e080570df032068920e163.jpg,3,0,0,3,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00132_png_jpg.rf.6b2d3c8571e080570df032068920e163.jpg
data\traffic-signs\valid\images\SNAG-00133_png_jpg.rf.bd61a3c98bf5815aaa3f2b7db427c350.jpg,3,0,0,3,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00133_png_jpg.rf.bd61a3c98bf5815aaa3f2b7db427c350.jpg
data\traffic-signs\valid\images\SNAG-00134_png_jpg.rf.54b15a168e9e116e722504cb6ad921a7.jpg,2,1,1,3,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00134_png_jpg.rf.54b15a168e9e116e722504cb6ad921a7.jpg
data\traffic-signs\valid\images\SNAG-00135_png_jpg.rf.a58de3810bdd0f6e9cc1262741117e3a.jpg,2,1,1,3,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00135_png_jpg.rf.a58de3810bdd0f6e9cc1262741117e3a.jpg
data\traffic-signs\valid\images\SNAG-00136_png_jpg.rf.8cff3bf69a7607107e30c356bf97a286.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00136_png_jpg.rf.8cff3bf69a7607107e30c356bf97a286.jpg
data\traffic-signs\valid\images\SNAG-00137_png_jpg.rf.1a81144422924ec2d3d704a5e6eb2f4d.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00137_png_jpg.rf.1a81144422924ec2d3d704a5e6eb2f4d.jpg
data\traffic-signs\valid\images\SNAG-00138_png_jpg.rf.e4ce2fca462fa470b496a1c1c896602b.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00138_png_jpg.rf.e4ce2fca462fa470b496a1c1c896602b.jpg
data\traffic-signs\valid\images\SNAG-00139_png_jpg.rf.cd6d6d469c96cfc7ae575b90831820be.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00139_png_jpg.rf.cd6d6d469c96cfc7ae575b90831820be.jpg
data\traffic-signs\valid\images\SNAG-00140_png_jpg.rf.bbf5a67f5a37388cf1609f38315cbd60.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00140_png_jpg.rf.bbf5a67f5a37388cf1609f38315cbd60.jpg
data\traffic-signs\valid\images\SNAG-00141_png_jpg.rf.9f3daf255ba2108189a1142733d4f8cf.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00141_png_jpg.rf.9f3daf255ba2108189a1142733d4f8cf.jpg
data\traffic-signs\valid\images\SNAG-00142_png_jpg.rf.68a164a0ff419be2b2f59d857ab689d9.jpg,2,1,0,3,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00142_png_jpg.rf.68a164a0ff419be2b2f59d857ab689d9.jpg
data\traffic-signs\valid\images\SNAG-00143_png_jpg.rf.7e0110ca1a191441ae76e8a48ebdf68a.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00143_png_jpg.rf.7e0110ca1a191441ae76e8a48ebdf68a.jpg
data\traffic-signs\valid\images\SNAG-00144_png_jpg.rf.11c28380a3272512a1935081509fb792.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00144_png_jpg.rf.11c28380a3272512a1935081509fb792.jpg
data\traffic-signs\valid\images\SNAG-00145_png_jpg.rf.b367b3648a15dd92b6a66dbdd88bcd3b.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00145_png_jpg.rf.b367b3648a15dd92b6a66dbdd88bcd3b.jpg
data\traffic-signs\valid\images\SNAG-00146_png_jpg.rf.59a3e041816df91cb6ddb721f09558e5.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00146_png_jpg.rf.59a3e041816df91cb6ddb721f09558e5.jpg
data\traffic-signs\valid\images\SNAG-00147_png_jpg.rf.28b969d75c11d7a15bd3c0ade0695036.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00147_png_jpg.rf.28b969d75c11d7a15bd3c0ade0695036.jpg
data\traffic-signs\valid\images\SNAG-00148_png_jpg.rf.b7ad99862559cd5ad1c67407ab762070.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00148_png_jpg.rf.b7ad99862559cd5ad1c67407ab762070.jpg
data\traffic-signs\valid\images\SNAG-00149_png_jpg.rf.039d47e62a7cd705095ccf82c85d8309.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00149_png_jpg.rf.039d47e62a7cd705095ccf82c85d8309.jpg
data\traffic-signs\valid\images\SNAG-00150_png_jpg.rf.1b03ffd36a2b4fb5567131108b219896.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00150_png_jpg.rf.1b03ffd36a2b4fb5567131108b219896.jpg
data\traffic-signs\valid\images\SNAG-00151_png_jpg.rf.4763b7b1b297f8a3eeedba7712689d14.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00151_png_jpg.rf.4763b7b1b297f8a3eeedba7712689d14.jpg
data\traffic-signs\valid\images\SNAG-00152_png_jpg.rf.909aed532cb69cb19f88ad9b34f0fb71.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00152_png_jpg.rf.909aed532cb69cb19f88ad9b34f0fb71.jpg
data\traffic-signs\valid\images\SNAG-00153_png_jpg.rf.a2e4acf101bc54b972a7774d0316a9d9.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00153_png_jpg.rf.a2e4acf101bc54b972a7774d0316a9d9.jpg
data\traffic-signs\valid\images\SNAG-00154_png_jpg.rf.6499a992d265fe809b529991cf296c4f.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00154_png_jpg.rf.6499a992d265fe809b529991cf296c4f.jpg
data\traffic-signs\valid\images\SNAG-00155_png_jpg.rf.8d7ca55d26aa06abff7bdc5678335ca9.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00155_png_jpg.rf.8d7ca55d26aa06abff7bdc5678335ca9.jpg
data\traffic-signs\valid\images\SNAG-00156_png_jpg.rf.045a491fef8654e71cfb06904b769338.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00156_png_jpg.rf.045a491fef8654e71cfb06904b769338.jpg
data\traffic-signs\valid\images\SNAG-00157_png_jpg.rf.d857fae59b189f162bc61bd2276e8e53.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00157_png_jpg.rf.d857fae59b189f162bc61bd2276e8e53.jpg
data\traffic-signs\valid\images\SNAG-00158_png_jpg.rf.142bd0bfdd50c13bfd6b5a55f0d293b9.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00158_png_jpg.rf.142bd0bfdd50c13bfd6b5a55f0d293b9.jpg
data\traffic-signs\valid\images\SNAG-00159_png_jpg.rf.a91677a8572f7435ccb4b9b082c1e0d9.jpg,3,0,0,3,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00159_png_jpg.rf.a91677a8572f7435ccb4b9b082c1e0d9.jpg
data\traffic-signs\valid\images\SNAG-00160_png_jpg.rf.72323d11294d5fca9fe62f89d87eb0ce.jpg,3,0,0,3,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00160_png_jpg.rf.72323d11294d5fca9fe62f89d87eb0ce.jpg
data\traffic-signs\valid\images\SNAG-00161_png_jpg.rf.0ee03238fcc90e5e4f08c1b9bd34c33c.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00161_png_jpg.rf.0ee03238fcc90e5e4f08c1b9bd34c33c.jpg
data\traffic-signs\valid\images\SNAG-00162_png_jpg.rf.4de82d0a11a0c04b21e0a6e8f1b89ef8.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00162_png_jpg.rf.4de82d0a11a0c04b21e0a6e8f1b89ef8.jpg
data\traffic-signs\valid\images\SNAG-00163_png_jpg.rf.1d0e44aee3c0ddb9a7747ad76bb566cb.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00163_png_jpg.rf.1d0e44aee3c0ddb9a7747ad76bb566cb.jpg
data\traffic-signs\valid\images\SNAG-00164_png_jpg.rf.e4fac19894a678fda77cdd4888fdda87.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00164_png_jpg.rf.e4fac19894a678fda77cdd4888fdda87.jpg
data\traffic-signs\valid\images\SNAG-00165_png_jpg.rf.1b775475dacc9e8bc39bcc392a1f75a3.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00165_png_jpg.rf.1b775475dacc9e8bc39bcc392a1f75a3.jpg
data\traffic-signs\valid\images\SNAG-00166_png_jpg.rf.9e22b6dfdb328748c51ba196da644246.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00166_png_jpg.rf.9e22b6dfdb328748c51ba196da644246.jpg
data\traffic-signs\valid\images\SNAG-00167_png_jpg.rf.96d79ef59723bd710326bba646903587.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG-00167_png_jpg.rf.96d79ef59723bd710326bba646903587.jpg
data\traffic-signs\valid\images\SNAG12-RADU_698_png.rf.4e1099e3f2063498e6561cd8db10a41e.jpg,4,0,0,4,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_698_png.rf.4e1099e3f2063498e6561cd8db10a41e.jpg
data\traffic-signs\valid\images\SNAG12-RADU_69_png.rf.4710e2a22e017dc9d13bc193a7091074.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_69_png.rf.4710e2a22e017dc9d13bc193a7091074.jpg
data\traffic-signs\valid\images\SNAG12-RADU_710_png.rf.6cd00e5a9dd9982b33d4422f15ec2dcd.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_710_png.rf.6cd00e5a9dd9982b33d4422f15ec2dcd.jpg
data\traffic-signs\valid\images\SNAG12-RADU_712_png.rf.e5e40bd752d0388b6ae68e47a91a185d.jpg,6,2,0,8,7,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_712_png.rf.e5e40bd752d0388b6ae68e47a91a185d.jpg
data\traffic-signs\valid\images\SNAG12-RADU_719_png.rf.9ecc11172eb9ed43e54b8d467c1930e4.jpg,0,1,1,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_719_png.rf.9ecc11172eb9ed43e54b8d467c1930e4.jpg
data\traffic-signs\valid\images\SNAG12-RADU_724_png.rf.123071919fecd14dd784d6daf71393e3.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_724_png.rf.123071919fecd14dd784d6daf71393e3.jpg
data\traffic-signs\valid\images\SNAG12-RADU_726_png.rf.a4337ef814389de203750301a2a31084.jpg,2,1,0,3,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_726_png.rf.a4337ef814389de203750301a2a31084.jpg
data\traffic-signs\valid\images\SNAG12-RADU_727_png.rf.57af8d425f55fdefa1642e644a281380.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_727_png.rf.57af8d425f55fdefa1642e644a281380.jpg
data\traffic-signs\valid\images\SNAG12-RADU_72_png.rf.31b75c0866c4e238ede65501cb46e33f.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_72_png.rf.31b75c0866c4e238ede65501cb46e33f.jpg
data\traffic-signs\valid\images\SNAG12-RADU_731_png.rf.da94c7dc04847d6e74584a3ff19108bb.jpg,4,3,0,7,5,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_731_png.rf.da94c7dc04847d6e74584a3ff19108bb.jpg
data\traffic-signs\valid\images\SNAG12-RADU_732_png.rf.eef29a594a4c7b62fb0aa8523935a371.jpg,2,2,0,4,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_732_png.rf.eef29a594a4c7b62fb0aa8523935a371.jpg
data\traffic-signs\valid\images\SNAG12-RADU_735_png.rf.6de39e266fab58f5d12180f32221269a.jpg,3,0,0,3,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_735_png.rf.6de39e266fab58f5d12180f32221269a.jpg
data\traffic-signs\valid\images\SNAG12-RADU_736_png.rf.9769cdff80d30c6afaebad10da164b5a.jpg,5,1,1,6,7,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_736_png.rf.9769cdff80d30c6afaebad10da164b5a.jpg
data\traffic-signs\valid\images\SNAG12-RADU_738_png.rf.1f555a6c3b1bdcde12c2780dd740ebae.jpg,2,2,1,4,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_738_png.rf.1f555a6c3b1bdcde12c2780dd740ebae.jpg
data\traffic-signs\valid\images\SNAG12-RADU_739_png.rf.e27574e38c988df6f4dbed2e643a50a5.jpg,3,1,0,4,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_739_png.rf.e27574e38c988df6f4dbed2e643a50a5.jpg
data\traffic-signs\valid\images\SNAG12-RADU_73_png.rf.7fb7c307a4c2c19cd34f3246667ae386.jpg,0,0,1,0,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_73_png.rf.7fb7c307a4c2c19cd34f3246667ae386.jpg
data\traffic-signs\valid\images\SNAG12-RADU_741_png.rf.4fde07db8d1638b72f05149ebb8b5575.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_741_png.rf.4fde07db8d1638b72f05149ebb8b5575.jpg
data\traffic-signs\valid\images\SNAG12-RADU_742_png.rf.64cbc169ae70ac6976fe39380d0e0ff8.jpg,2,3,0,5,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_742_png.rf.64cbc169ae70ac6976fe39380d0e0ff8.jpg
data\traffic-signs\valid\images\SNAG12-RADU_743_png.rf.b2a73fc92111e705bfa773da4aba2d3e.jpg,3,2,0,5,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_743_png.rf.b2a73fc92111e705bfa773da4aba2d3e.jpg
data\traffic-signs\valid\images\SNAG12-RADU_745_png.rf.f5e2b22e95c3f4d93dda7ffc83855146.jpg,0,1,0,1,0,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_745_png.rf.f5e2b22e95c3f4d93dda7ffc83855146.jpg
data\traffic-signs\valid\images\SNAG12-RADU_746_png.rf.e287c0c36b55377bfe63ab88244ea393.jpg,0,1,0,1,0,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_746_png.rf.e287c0c36b55377bfe63ab88244ea393.jpg
data\traffic-signs\valid\images\SNAG12-RADU_747_png.rf.33eda5595e422352240b38136df5b318.jpg,3,0,0,3,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_747_png.rf.33eda5595e422352240b38136df5b318.jpg
data\traffic-signs\valid\images\SNAG12-RADU_748_png.rf.747692b7dbf1aa9e83b835e6678efd5d.jpg,1,1,0,2,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_748_png.rf.747692b7dbf1aa9e83b835e6678efd5d.jpg
data\traffic-signs\valid\images\SNAG12-RADU_749_png.rf.902a3454cffe8e9918a273b11973ae71.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_749_png.rf.902a3454cffe8e9918a273b11973ae71.jpg
data\traffic-signs\valid\images\SNAG12-RADU_74_png.rf.314f78d576aa41766c8225c028022f8b.jpg,4,0,0,4,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_74_png.rf.314f78d576aa41766c8225c028022f8b.jpg
data\traffic-signs\valid\images\SNAG12-RADU_750_png.rf.42f4451aa1540d116f795127702050fe.jpg,2,0,0,2,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_750_png.rf.42f4451aa1540d116f795127702050fe.jpg
data\traffic-signs\valid\images\SNAG12-RADU_751_png.rf.b6a40306c8dbea4c3e3d1d74783dfc2b.jpg,1,2,0,3,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_751_png.rf.b6a40306c8dbea4c3e3d1d74783dfc2b.jpg
data\traffic-signs\valid\images\SNAG12-RADU_752_png.rf.ff93a4910429fe15ec6db4a502276441.jpg,1,0,1,1,2,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_752_png.rf.ff93a4910429fe15ec6db4a502276441.jpg
data\traffic-signs\valid\images\SNAG12-RADU_753_png.rf.e09a2d387191b2665c8798ee6234a900.jpg,3,2,0,5,3,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_753_png.rf.e09a2d387191b2665c8798ee6234a900.jpg
data\traffic-signs\valid\images\SNAG12-RADU_754_png.rf.c9786981bf9a7210b9884fe0cf814bee.jpg,1,0,0,1,1,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_754_png.rf.c9786981bf9a7210b9884fe0cf814bee.jpg
data\traffic-signs\valid\images\SNAG12-RADU_755_png.rf.9faa0f72f5abf2d49b33dc91e6fd21bf.jpg,4,0,0,4,4,outputs\error_analysis\threshold_yolov8n_640_conf025\visualizations\SNAG12-RADU_755_png.rf.9faa0f72f5abf2d49b33dc91e6fd21bf.jpg
